data,total,positivos,prevalencia
2016-02-15,171,23,0.13450292397660818
2016-02-16,190,26,0.1368421052631579
2016-02-17,230,39,0.16956521739130434
2016-02-18,185,27,0.14594594594594595
2016-02-19,196,23,0.11734693877551021
2016-02-20,135,11,0.08148148148148149
2016-02-21,162,9,0.05555555555555555
2016-02-22,198,25,0.12626262626262627
2016-02-23,199,26,0.1306532663316583
2016-02-24,198,28,0.1414141414141414
2016-02-25,209,36,0.1722488038277512
2016-02-26,189,24,0.12698412698412698
2016-02-27,174,12,0.06896551724137931
2016-02-28,201,12,0.05970149253731343
2016-02-29,184,30,0.16304347826086957
2016-03-01,123,13,0.10569105691056911
2016-03-02,177,25,0.14124293785310735
2016-03-03,190,23,0.12105263157894737
2016-03-04,162,9,0.05555555555555555
2016-03-05,187,25,0.13368983957219252
2016-03-06,166,26,0.1566265060240964
2016-03-07,178,7,0.03932584269662921
2016-03-08,216,31,0.14351851851851852
2016-03-09,114,8,0.07017543859649122
2016-03-10,169,25,0.14792899408284024
2016-03-11,144,23,0.1597222222222222
2016-03-12,93,5,0.053763440860215055
2016-03-13,191,6,0.031413612565445025
2016-03-14,162,23,0.1419753086419753
2016-03-15,207,20,0.0966183574879227
2016-03-16,253,22,0.08695652173913043
2016-03-17,251,24,0.09561752988047809
2016-03-18,191,30,0.15706806282722513
2016-03-19,120,6,0.05
2016-03-20,159,17,0.1069182389937107
2016-03-21,191,29,0.1518324607329843
2016-03-22,237,25,0.10548523206751055
2016-03-23,199,25,0.12562814070351758
2016-03-24,181,19,0.10497237569060773
2016-03-25,121,13,0.10743801652892562
2016-03-26,132,8,0.06060606060606061
2016-03-27,167,12,0.0718562874251497
2016-03-28,186,25,0.13440860215053763
2016-03-29,208,30,0.14423076923076922
2016-03-30,209,30,0.14354066985645933
2016-03-31,193,18,0.09326424870466321
2016-04-01,165,32,0.19393939393939394
2016-04-02,190,32,0.16842105263157894
2016-04-03,221,19,0.08597285067873303
2016-04-04,178,21,0.11797752808988764
2016-04-05,184,26,0.14130434782608695
2016-04-06,146,11,0.07534246575342465
2016-04-07,163,28,0.17177914110429449
2016-04-08,213,29,0.13615023474178403
2016-04-09,158,9,0.056962025316455694
2016-04-10,177,28,0.15819209039548024
2016-04-11,143,25,0.17482517482517482
2016-04-12,164,9,0.054878048780487805
2016-04-13,190,21,0.11052631578947368
2016-04-14,196,26,0.1326530612244898
2016-04-15,185,18,0.0972972972972973
2016-04-16,167,8,0.04790419161676647
2016-04-17,239,20,0.08368200836820083
